Year,1940-1950,1950-1960,1960-1970,1970-1980,1980-1990,start place,end place,name
WhiteAndBlackPopulation_SouthAtlantic_Florida_Ac82_Thousand ,578,1616,1326,2716,2774,38,46,Florida
WhiteAndBlackPopulation_EastSouthCentral_Kentucky_Ac83_Thousand ,-366,-390,-153,209,-171,41,50,Kentucky
WhiteAndBlackPopulation_EastSouthCentral_Tennessee_Ac84_Thousand ,-143,-274,-45,394,38,41,51,Tennessee
WhiteAndBlackPopulation_EastSouthCentral_Alabama_Ac85_Thousand ,-342,-369,-233,176,-88,41,49,Alabama
EastSouthCentral_Mississippi_Ac86_Thousand ,-433,-433,-267,85,-143,17,29,Mississippi
WhiteAndBlackPopulation_WestSouthCentral_Arkansas_Ac87_Thousand ,-415,-433,-71,232,-51,41,50,Arkansas
WhiteAndBlackPopulation_WestSouthCentral_Louisiana_Ac88_Thousand ,-147,-49,-130,188,-412,41,51,Louisiana
WhiteAndBlackPopulation_WestSouthCentral_Oklahoma_Ac89_Thousand ,-434,-219,13,295,-107,41,50,Oklahoma
WhiteAndBlackPopulation_WestSouthCentral_Texas_Ac90_Thousand ,73,121,146,1779,945,41,47,Texas
WhiteAndBlackPopulation_Mountain_Montana_Ac91_Thousand ,-40,-25,-58,33,-53,33,41,Montana
WhiteAndBlackPopulation_Mountain_Idaho_Ac92_Thousand ,-27,-40,-42,130,-41,33,39,Idaho
WhiteAndBlackPopulation_Mountain_Wyoming_Ac93_Thousand ,-1,-20,-39,96,-75,33,41,Wyoming
WhiteAndBlackPopulation_Mountain_Colorado_Ac94_Thousand ,41,164,215,446,71,33,42,Colorado
WhiteAndBlackPopulation_Mountain_NewMexico_Ac95_Thousand ,16,52,-130,141,37,33,43,NewMexico
WhiteAndBlackPopulation_Mountain_Arizona_Ac96_Thousand ,137,329,228,712,610,33,41,Arizona
WhiteAndBlackPopulation_Mountain_Utah_Ac97_Thousand ,9,9,-11,149,-32,33,38,Utah
WhiteAndBlackPopulation_Mountain_Nevada_Ac98_Thousand ,34,86,144,257,315,33,40,Nevada
WhiteAndBlackPopulation_Pacific_Washington_Ac99_Thousand ,392,87,249,474,370,32,43,Washington
WhiteAndBlackPopulation_Pacific_Oregon_Ac100_Thousand ,286,16,159,396,38,32,39,Oregon
WhiteAndBlackPopulation_Pacific_California_Ac101_Thousand ,2658,3142,2113,2078,3354,32,43,California
WhiteAndBlackPopulation_Pacific_Alaska_Ac102_Thousand ,,41,16,36,52,32,39,Alaska
WhiteAndBlackPopulation_Pacific_Hawaii_Ac103_Thousand ,,3,11,76,14,32,39,Hawaii
