Year,1930-1940,1940-1950,1950-1960,1960-1970,1970-1980,1980-1990,,,
WhiteAndBlackPopulation_Mountain_Wyoming_Ac247_Thousand ,-0.1,-4.6,-18.7,-37.1,76.6,-66,33,41,Wyoming
WhiteAndBlackPopulation_Mountain_Colorado_Ac248_Thousand ,1,32.4,132.4,182.1,349,46.7,33,42,Colorado
WhiteAndBlackPopulation_Mountain_NewMexico_Ac249_Thousand ,18.6,9.8,51.7,-111,100.3,21.5,33,43,NewMexico
WhiteAndBlackPopulation_Mountain_Arizona_Ac250_Thousand ,-3.5,117.4,289.3,187.5,591.5,506.5,33,41,Arizona
WhiteAndBlackPopulation_Mountain_Utah_Ac251_Thousand ,-30.5,6.4,4.9,-8.4,98.1,-13.5,33,38,Utah
WhiteAndBlackPopulation_Mountain_Nevada_Ac252_Thousand ,12.5,28.8,74.9,130.1,206.5,235.7,33,40,Nevada
WhiteAndBlackPopulation_Pacific_Washington_Ac253_Thousand ,109.2,351.3,49.5,170.6,273.9,201.7,32,43,Washington
WhiteAndBlackPopulation_Pacific_Oregon_Ac254_Thousand ,94.1,244,1.2,113.5,289.5,-11.9,32,39,Oregon
WhiteAndBlackPopulation_Pacific_California_Ac255_Thousand ,974.6,2339.1,2573.1,1522,378.9,1059.2,32,43,California
WhiteAndBlackPopulation_Pacific_Alaska_Ac256_Thousand ,,,48,13.8,26.1,43.3,32,39,Alaska
WhiteAndBlackPopulation_Pacific_Hawai'i_Ac257_Thousand ,,,47.9,9.6,-5.4,5,32,40,Hawai'i
